team_id,created_by,team_city,team_name
0,,Anaheim,Angels
1,,Baltimore,Orioles
2,,Boston,Red Sox
3,,Chicago,White Sox
4,,Cleveland,Guardians
5,,Detroit,Tigers
6,,Houston,Astros
7,,Kansas City,Royals
8,,Minnesota,Twins
9,,New York,Yankees
10,,Oakland,Athletics
11,,Seattle,Mariners
12,,Tampa Bay,Rays
13,,Texas,Rangers
14,,Toronto,Blue Jays
15,,Arizona,Diamondbacks
16,,Atlanta,Braves
17,,Chicago,Cubs
18,,Cincinnati,Reds
19,,Colorado,Rockies
20,,Los Angeles,Dodgers
21,,Miami,Marlins
22,,Milwaukee,Brewers
23,,New York,Mets
24,,Philadelphia,Phillies
25,,Pittsburgh,Pirates
26,,San Diego,Padres
27,,San Francisco,Giants
28,,St. Louis,Cardinals
29,,Washington,Nationals